Date,Exercise,Sets,Reps,Weight
2026-04-20,machine incline chest press,4,10,25.0
2026-04-20,machine pec deck,3,12,42.5
2026-04-20,machine shoulder press,3,12,20.0
2026-04-20,cable triceps pushdown,3,12,20.0
2026-04-20,machine overhead triceps extension,3,12,0
2026-04-21,cable lat pulldown,4,10,45.0
2026-04-21,cable seated row,3,12,40.0
2026-04-21,machine chest supported row,3,12,30.0
2026-04-21,cable face pulls,3,15,30.0
2026-04-21,machine preacher cruls,3,12,15.0
2026-04-21,machine biceps curls,2,12,15.0
2026-04-22,machine leg press,4,10,102.0
2026-04-22,dumbbell hammer curls,3,12,7.5
2026-04-22,machine leg curls,3,12,40.0
2026-04-22,machine hip abductors,3,20,50.0
2026-04-22,machine leg extensions,3,12,50.0
2026-04-22,machine calf raises,4,15,95.0
2026-04-27,machine incline chest press,4,10,35.0
2026-04-27,machine pec deck,3,12,42.5
2026-04-27,machine shoulder press,2,12,0
2026-04-27,cable unilateral lateral raises,3,15,10.0
2026-04-27,cable overhead triceps extension,3,12,15.0
2026-04-27,cable triceps pushdown,3,12,25.0
2026-04-27,machine seated dips,3,12,50.0
2026-04-27,machine preacher curls,3,12,17.5
2026-04-27,machine leg extensions,3,12,50.0
2026-04-27,machine leg press,3,1,146.0
2026-04-29,dumbbell incline press,3,12,10.0
2026-04-29,machine pec deck,4,12,35.0
2026-04-29,dumbbell lateral raises,3,15,5.0
2026-04-29,cable overhead triceps extension,3,12,15.0
2026-04-29,cable triceps pushdown,4,12,25.0
2026-04-29,machine leg press,1,1,157.0
2026-04-30,cable lat pulldown,4,10,45.0
2026-04-30,cable seated row,3,12,35.0
2026-04-30,cable face pulls,3,15,25.0
2026-04-30,ez-barbell curls,3,12,0
2026-04-30,machine preacher curls,3,12,12.5
2026-04-30,cable unilateral bayesian curls,3,12,10.0
2026-04-30,dumbbell shrugs,3,12,12.5
2026-05-04,ez-barbell curls,3,12,13.0
2026-05-04,cable triceps pushdown,3,12,25.0
2026-05-04,machine preacher curls,3,12,17.5
2026-05-04,cable overhead triceps extension,3,12,15.0
2026-05-04,cable unilateral bayesian curls,3,12,10.0
2026-05-04,machine seated dips,3,12,85.0
2026-05-04,cable unilateral tricep kickbacks,3,12,10.0
2026-05-04,machine unilateral bicep curls,3,12,5.0
2026-05-04,calf-machine trap shrugs,3,12,70.0
